region_code,region_name,accomodation_accessibility,attraction_region,economic_growth,kindergarten_accessibility,medium_salary_difference,price_level,unemployment_level,forest,auto,vpk,border
4300000000000,Кировская область,8155.88,0,1.2,600,32692,15801.16,5.6,1,0,1,0
3000000000000,Астраханская область,10139.13,0,16.1,400,38885,15264.7,8.2,0,0,0,0
2800000000000,Амурская область,21648.91,0,-10.1,600,52430,18491.96,5.6,1,0,0,0
6100000000000,Ростовская область,10570.1,0,3.1,400,35622,17171.62,4.8,0,0,1,1
4500000000000,Курганская область,8719.39,1,3.9,600,33182,16043.03,8,0,0,0,0
2000000000000,Чеченская Республика,11569.76,0,-1.5,400,29771,16481.14,19,0,0,0,0
3900000000000,Калининградская область,13764.69,0,0.1,600,36647,17894.2,5.7,0,1,1,0
6200000000000,Рязанская область,10107.77,0,2.8,400,36459,16464.36,4.8,0,0,0,0
5400000000000,Новосибирская область,10995.43,0,4.2,600,41534,16908.12,7.1,0,0,1,0
4900000000000,Магаданская область,19493.59,0,5.4,600,102843,24341.9,6,0,0,0,0
0100000000000,Республика Адыгея,9342.32,0,2.3,400,32161,15625.13,8.5,0,0,0,0
1600000000000,Республика Татарстан,11917.3,0,1.9,400,39761,15347.85,2.9,0,1,1,0
4400000000000,Костромская область,9813.2,0,2.7,600,32220,16238.79,5.5,1,0,0,0
2200000000000,Алтайский край,9777.96,0,5.2,600,30072,16203.05,6.6,0,0,1,0
7500000000000,Забайкальский край,12872.62,1,-1.5,400,47172,16935.7,9.9,0,0,0,0
8600000000000,Ханты-Мансийский автономный округ - Югра,21736.71,0,-1.1,600,79822,20579.28,3.1,0,0,0,0
1400000000000,Республика Саха (Якутия),21661.73,1,1,600,77178,21731.44,7.2,0,0,0,0
0500000000000,Республика Дагестан,13898.54,0,5.7,400,32294,15709.88,16.5,0,0,0,0
2300000000000,Краснодарский край,13472.94,0,2.8,400,38499,17748.99,5.6,0,0,0,1
7400000000000,Челябинская область,9683.07,0,1.4,600,39349,15585.28,6.7,1,1,1,0
